2025-11-26 19:35:54,656 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 19:35:55,025 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:37:59,575 -- Module:       2376781226.py -- ScoringEngineCard.<module>() -- INFO:✅ This should appear in both notebook and logfile.log
2025-11-26 19:38:57,799 -- Module:       1615106905.py -- NotebookLogger.<module>() -- INFO:✅ This will show in your notebook output
2025-11-26 19:39:12,891 -- Module:       2376781226.py -- ScoringEngineCard.<module>() -- INFO:✅ This should appear in both notebook and logfile.log
2025-11-26 19:39:39,769 -- Module:columntransformer_base.py -- ScoringEngineCard.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:39:39,770 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:39:39,770 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:39,883 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:39:39,883 -- Module:columntransformer_base.py -- ColTransUPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 19:39:39,883 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:39,884 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:39,997 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:39:39,997 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 19:39:40,369 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:39:40,370 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:39:49,397 -- Module:columntransformer_base.py -- ScoringEngineCard.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:39:49,398 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:39:49,398 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:49,510 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:39:49,510 -- Module:columntransformer_base.py -- ColTransUPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 19:39:49,510 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:49,510 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:49,621 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
